rank,uid,username,type
1,3242457,猫耳小月子,舰长
2,11107450,我爱苹果皮,舰长
3,925980,LightNight,舰长
4,4212765,小也QwQ,舰长
5,6792898,沉迷乙游的YosuGa,舰长
6,3237744,剧毒术士卡布达,舰长
7,24136234,yuk133,舰长
8,1467186,゙圣人惠美如画,舰长
9,284054,傲娇藤林杏,舰长
10,6865499,酪蛋糕,舰长
11,11797,NOVE,舰长
12,581984,jiu红_佐仓财团,舰长
13,294667,小狼仔06,舰长
14,2686444,zhlovenaiye,舰长
15,126835567,苏景寒QAQ,舰长
16,518287,琰月,舰长
17,150476,你玩FF14像cxk,舰长
18,356414,幻梦落尘,舰长
19,139451,如儿两个字太短,舰长
20,24349506,雪域悠然,舰长
21,333757885,蒲苇韧如絲,舰长
22,81007713,美杜莎的凝神,舰长
23,86795,ダーナ,舰长
24,1527604,米糖豆包,舰长
25,2494590,山不就我192,舰长
26,96354,重巡洋舰羽黑,舰长
27,11270874,絔小妖丶,舰长
28,1355340,七夜喵,舰长
29,13624279,蛮牛方进,舰长
30,4350825,Sss丶333,舰长
31,1551497,囗六六囗,舰长
32,21443071,半车回忆,舰长
33,207079,猫控才是王道,舰长
34,2491930,aarkegz,舰长
35,2295825,505错误,舰长
36,4080622,珈蓝璎珞,舰长
37,34032055,转来转去转不出去,舰长
38,759055,佐仓沙耶加减乘除,舰长
39,13130453,xXx没头脑和不高兴,舰长
40,35148518,加尔斯海塔尔,舰长
41,5338051,QB的幸运四饼,舰长
42,119908,萌希家的小等等,舰长
43,399938125,蓝铃儿Official,舰长
44,39351242,一只被喂狗粮的喵,舰长
45,289499569,24Bridge,舰长
46,407707,小沁不爱啃茄子,舰长
47,1802569,SirenumScopuli,舰长
48,390676180,九条狸猫,舰长
49,35357644,凛音梦夜,舰长
50,4156362,小心心才不傲娇,舰长
51,576590,fuluo,舰长
52,6097060,平沢家の呆唯,舰长
53,2986944,Ace长安,舰长
54,9923459,梦丶蝶,舰长
55,3731858,如烟如雨丶,舰长
56,346352217,左车亭,舰长
57,17490423,我只是来看看不说话,舰长
58,133890,disname,舰长
59,11444975,西莉卡_Official,舰长
60,397781410,ysjsyysjsy,舰长
61,327220159,Qi学日麻,舰长
62,77222956,云若飞,舰长
63,809050,Zumma.C,舰长
64,364421466,胡乱思维的猫,舰长
65,12958381,qing鲤,舰长
66,6504651,Name1ess_O,舰长
67,3861924,ghj123h,舰长
68,44100459,芙蓉打dota,舰长
69,874491,故事城,舰长
70,2539001,法伊君,舰长
71,16822948,猫耳晃晃Nya,舰长
72,419509,Grammatica,舰长
73,85685453,浅薄丶安凉,舰长
74,358916082,然-7,舰长
75,2192992,微茫慕城,舰长
76,40665101,火龙果说电影,舰长
77,25060765,宇厸静,舰长
78,1263988646,三分微甜_,舰长
79,383152159,铜铝得金,舰长
80,12781123,乌乌乌乌乌乌乌乌野,舰长
81,121367890,卅凁saso,舰长
82,3287844,粟米米米米米米米米丶,舰长
83,22944254,路西Official,舰长
84,8801354,Mono_莫诺,舰长
85,3057080,神崎海星,舰长
86,390653681,cmerxbd,舰长
87,52558637,筱柒柒Official,舰长
88,299587582,涣散时光晴,舰长
89,57123130,Zero_31551,舰长
90,482458990,御坂美琴__Official,舰长
91,14641753,五条nic,舰长
92,19521898,小沐恩0915,舰长
93,282211147,-yxzd03-,舰长
94,25941450,为什么有人叫caimour,舰长
95,297576,HawxGT,舰长
96,34234577,言五w,舰长
97,3284844,silentforest,舰长
98,1263949679,Qs冯宝宝,舰长
99,269492934,咪唑Imidazole,舰长
100,13234189,si1verwind,舰长
101,661672977,推倒有顶天的大小姐,舰长
102,19873830,真的是包子啊,舰长
103,362112627,皋傲告,舰长
104,475701957,唧唧怪怪,舰长
105,613086,OnlyVest,舰长
106,32322222,云上归雁,舰长
