rank,uid,username,type
1,3242457,猫耳小月子,提督
2,23849090,辣椒酱炸豆腐,提督
3,925980,LightNight,舰长
4,4212765,小也QwQ,舰长
5,6792898,沉迷乙游的YosuGa,舰长
6,3237744,剧毒术士卡布达,舰长
7,24136234,yuk133,舰长
8,11107450,我爱苹果皮,舰长
9,122449,七夜寒音,舰长
10,1467186,圣人惠美如画-,舰长
11,6865499,酪蛋糕,舰长
12,284054,傲娇藤林杏,舰长
13,581984,jiu红_佐仓财团,舰长
14,11797,NOVE,舰长
15,294667,小狼仔06,舰长
16,2686444,zhlovenaiye,舰长
17,518287,琰月,舰长
18,150476,你玩FF14像cxk,舰长
19,356414,幻梦落尘,舰长
20,44570644,夜雨feifei,舰长
21,30885903,鸽翼-,舰长
22,86795,ダーナ,舰长
23,153596,传说中的老山猫,舰长
24,333757885,蒲苇韧如絲,舰长
25,81007713,美杜莎毛呆多用装甲板,舰长
26,1527604,米糖豆包,舰长
27,126835567,苏景寒QAQ,舰长
28,677968,祈福丶,舰长
29,2494590,山不就我192,舰长
30,1355340,七夜喵,舰长
31,96354,重巡洋舰羽黑,舰长
32,13624279,蛮牛方进,舰长
33,10354186,空白de顔色,舰长
34,32285055,谁家小猫咪这么可爱啊,舰长
35,11270874,絔小妖丶,舰长
36,4350825,Sss丶333,舰长
37,1551497,囗六六囗,舰长
38,19982416,丿八云紫丶,舰长
39,21443071,半车回忆,舰长
40,207079,猫控才是王道,舰长
41,2295825,505错误,舰长
42,139451,如儿两个字太短,舰长
43,2491930,aarkegz,舰长
44,34032055,转来转去转不出去,舰长
45,13130453,xXx没头脑和不高兴,舰长
46,759055,佐仓沙耶加减乘除,舰长
47,4080622,珈蓝璎珞,舰长
48,35148518,加尔斯海塔尔,舰长
49,5338051,朝倉康心QB,舰长
50,9555628,池上凭阑,舰长
51,119908,萌希家的小等等,舰长
52,399938125,蓝铃儿Official,舰长
53,94526445,胡萝北素w,舰长
54,39351242,一只被喂狗粮的喵,舰长
55,2387733,萧暁風,舰长
56,1802569,SirenumScopuli,舰长
57,670459,yiyunhuan,舰长
58,390676180,九条狸猫,舰长
59,848258,菠萝灌汤包,舰长
60,35357644,凛音梦夜,舰长
61,2238244,成飞大爱秋山澪,舰长
62,51792751,彼忍,舰长
63,359354934,知恩唱歌哄我睡觉,舰长
64,797296,不会卖萌の钱伯,舰长
65,2413965,Yukin0Shizuku,舰长
66,8106540,AKA鸭鸭梨,舰长
67,576590,fuluo,舰长
68,4156362,小心心才不傲娇,舰长
69,23665774,悠米爱吃巧克力,舰长
70,5800806,bpkbumblebee,舰长
71,6097060,平沢家の呆唯,舰长
72,11123212,韶尘杳晚暮_,舰长
73,2986944,Ace长安,舰长
74,392997,FFindblue,舰长
75,273875635,arslan1984,舰长
76,282770222,zh4ever,舰长
77,9923459,梦丶蝶,舰长
78,327220159,Qi学日麻,舰长
79,10903128,风车骑士兀,舰长
80,112700900,子车沉琚,舰长
81,3731858,如烟如雨丶,舰长
82,1368139,巴巴爸爸,舰长
83,21626362,千年·小妖,舰长
84,48984839,長門我真的好喜欢你啊,舰长
85,11923138,噫大师,舰长
86,1286485,漠涟漪,舰长
87,17490423,我只是来看看不说话,舰长
88,133890,disname,舰长
89,397781410,ysjsyysjsy,舰长
90,11444975,西莉卡のShirika,舰长
91,289499569,24Bridge,舰长
92,809050,Zumma.C,舰长
93,77222956,云若飞,舰长
94,364421466,胡乱思维的猫,舰长
95,874491,故事城,舰长
96,12958381,qing鲤,舰长
97,6504651,Real_小白,舰长
98,299597062,GodSky-,舰长
99,174542702,不丢丢丢丢丢丢丢,舰长
100,49362003,绿色红宝石,舰长
101,11021839,喵喵今天又熬夜了,舰长
102,3861924,ghj123h,舰长
103,10005741,钻石胸针,舰长
104,19038963,千里花咲,舰长
105,89427543,Beat0n,舰长
106,44100459,芙蓉打dota,舰长
107,4214309,恋上辰,舰长
108,59392743,甜甜的玖柒,舰长
109,8801354,Mono_莫诺,舰长
110,87688430,是岚鸽鸽啊,舰长
111,358916082,然-7,舰长
112,2112989343,星辰浮海喵,舰长
113,3975891,一张白色雪貂皮,舰长
114,85685453,浅薄丶安凉,舰长
115,57123130,Zero_31551,舰长
116,1716204,流浪的自由,舰长
117,69447971,楚千秋CQQ,舰长
118,12241752,kiki5230,舰长
119,374328,兰依风,舰长
120,298672073,劍舞红颜笑丿,舰长
121,1309523,西知鉴,舰长
122,10931744,君莫思归z,舰长
123,518895483,雨化田BILI,舰长
124,193050759,萌萌哒-曹萌,舰长
125,4260999,泯音_Syrom,舰长
126,7410837,长歌终离-Syouri,舰长
127,576873824,Mr策策策策,舰长
128,9161718,Mediann,舰长
129,8309485,雪菜不想打会战,舰长
130,8028601,Pure_White,舰长
131,1316102947,lz就是个无赖,舰长
132,353822667,重生之我是急急国王,舰长
133,627392553,滑稽是内鬼,舰长
134,626243050,Rainbow糖宝,舰长
135,365207758,梦饮酒者吗,舰长
136,308255541,星空の瞬曜,舰长
137,29532936,是小莁鴨吶,舰长
138,8158820,卟哴木头,舰长
139,53706074,shi体,舰长
140,518605701,雷凌不是受,舰长
141,485292268,Sakamotoruichi,舰长
142,15061160,八名快,舰长
