rank,uid,username,type
1,3242457,猫耳小月子,提督
2,925980,LightNight,舰长
3,4212765,小也QwQ,舰长
4,3237744,剧毒术士卡布达,舰长
5,6792898,沉迷乙游的YosuGa,舰长
6,24136234,yuk133,舰长
7,122449,七夜寒音,舰长
8,1467186,是禧运楼不是洗浴楼呀,舰长
9,284054,傲娇藤林杏,舰长
10,581984,jiu红_佐仓财团,舰长
11,294667,小狼仔06,舰长
12,11797,NOVE,舰长
13,2686444,zhlovenaiye,舰长
14,6865499,酪蛋糕,舰长
15,11107450,我爱苹果皮,舰长
16,518287,琰月,舰长
17,150476,你玩FF14像cxk,舰长
18,30885903,鸽翼-,舰长
19,356414,幻梦落尘,舰长
20,24349506,雪域悠然,舰长
21,86795,ダーナ,舰长
22,81007713,美杜莎毛呆多用装甲板,舰长
23,153596,传说中的老山猫,舰长
24,44570644,夜雨feifei,舰长
25,1527604,米糖豆包,舰长
26,677968,祈福丶,舰长
27,1355340,七夜喵,舰长
28,96354,重巡洋舰羽黑,舰长
29,13624279,蛮牛方进,舰长
30,10354186,空白de顔色,舰长
31,11270874,絔小妖丶,舰长
32,4350825,Sss丶333,舰长
33,1551497,囗六六囗,舰长
34,21443071,半车回忆,舰长
35,32285055,谁家小猫咪这么可爱啊,舰长
36,207079,猫控才是王道,舰长
37,2494590,山不就我192,舰长
38,2295825,505错误,舰长
39,139451,如儿两个字太短,舰长
40,13130453,xXx没头脑和不高兴,舰长
41,2491930,aarkegz,舰长
42,4080622,珈蓝璎珞,舰长
43,34032055,转来转去转不出去,舰长
44,126835567,苏景寒QAQ,舰长
45,759055,佐仓沙耶加减乘除,舰长
46,218970376,嘉兴路海德格爾,舰长
47,2909345,化雨成枫,舰长
48,35148518,加尔斯海塔尔,舰长
49,5338051,朝倉康心QB,舰长
50,9555628,池上凭阑,舰长
51,333757885,蒲苇韧如絲,舰长
52,119908,萌希家的小等等,舰长
53,399938125,蓝铃儿Official,舰长
54,94526445,胡萝北素w,舰长
55,39351242,一只被喂狗粮的喵,舰长
56,1802569,SirenumScopuli,舰长
57,1697848019,赤五教教主亮亮,舰长
58,390676180,九条狸猫,舰长
59,848258,菠萝灌汤包,舰长
60,670459,yiyunhuan,舰长
61,35357644,工位嗦面第一人,舰长
62,2238244,成飞大爱秋山澪,舰长
63,6968347,子一污,舰长
64,51792751,彼忍,舰长
65,359354934,知恩唱歌哄我睡觉,舰长
66,797296,不会卖萌の钱伯,舰长
67,2413965,USA226,舰长
68,576590,fuluo,舰长
69,4156362,小心心才不傲娇,舰长
70,384246380,周之谦ovo,舰长
71,5800806,bpkbumblebee,舰长
72,6097060,平沢家の呆唯,舰长
73,23665774,悠米爱吃巧克力,舰长
74,8106540,AKA鸭鸭梨,舰长
75,2986944,Ace长安,舰长
76,392997,FFindblue,舰长
77,247208,历经天光,舰长
78,273875635,arslan1984,舰长
79,282770222,zh4ever,舰长
80,9923459,梦丶蝶,舰长
81,2943679,梭哈毛毛10t公粮,舰长
82,327220159,Qi学日麻,舰长
83,25060765,宇厸静,舰长
84,11123212,韶尘杳晚暮_,舰长
85,346352217,左车亭,舰长
86,112700900,子车沉琚,舰长
87,2700878,爱丝艾芙,舰长
88,21626362,千年·小妖,舰长
89,3731858,如烟如雨丶,舰长
90,1368139,巴巴爸爸,舰长
91,260437110,李惟天,舰长
92,11923138,噫大师,舰长
93,48984839,長門我真的好喜欢你啊,舰长
94,5494229,JSON茶杯菌,舰长
95,133890,disname,舰长
96,397781410,ysjsyysjsy,舰长
97,11444975,西莉卡のShirika,舰长
98,1286485,吸猫薄荷的漠涟漪,舰长
99,482738,暁の水平線に,舰长
100,17490423,我只是来看看不说话,舰长
101,77222956,云若飞,舰长
102,289499569,24Bridge,舰长
103,809050,Zumma.C,舰长
104,874491,故事城,舰长
105,364421466,胡乱思维的猫,舰长
106,12958381,qing鲤,舰长
107,6504651,Real_小白,舰长
108,128923,精灵猪小弟,舰长
109,21139453,蓝思喻,舰长
110,138533676,九琉才是正统,舰长
111,3861924,ghj123h,舰长
112,299597062,GodSky-,舰长
113,19038963,千里花咲,舰长
114,4214309,恋上辰,舰长
115,44100459,芙蓉打dota,舰长
116,59392743,甜甜的玖柒,舰长
117,10005741,钻石胸针,舰长
118,11887465,yxyxyxyxy,舰长
119,374732865,万幸得以相别,舰长
120,333445222,饭阿能的咸鱼0,舰长
121,2125062,寂灭天华,舰长
122,289583204,ートトー,舰长
123,358916082,然-7,舰长
124,38648230,烟雨锦绣梦,舰长
125,306642,伊吹风子的修正带,舰长
126,41106921,Tsuki丶suki丶,舰长
127,80835075,死人枫,舰长
128,843265,懒虫9号,舰长
129,1716204,流浪的自由,舰长
130,12132102,呆毛贴贴协会茄子,舰长
131,57123130,Zero_31551,舰长
132,11178087,南极大熊熊,舰长
133,12241752,kiki5230,舰长
134,13636187,李小花丶,舰长
135,1109554900,花咲爱,舰长
136,31058650,一般路过白星星,舰长
137,1164378487,大兵抗小炮,舰长
138,4127725,巨型大李子,舰长
139,17803702,肆二似,舰长
140,69447971,楚千秋CQQ,舰长
141,7080134,暮雨风傲,舰长
142,262536544,风花雪月隐,舰长
143,386362614,栀落雪融,舰长
144,2155495,Dante丶鬼泣,舰长
145,22384097,青岛浪速_梓泽雀庄,舰长
146,9217887,枫糖QAQ,舰长
147,68034808,x光羽x,舰长
148,5072969,一个老冬瓜,舰长
149,12504588,喝茶的真寻,舰长
