rank,uid,username,type
1,3242457,猫耳小月子,舰长
2,925980,LightNight,舰长
3,4212765,小也QwQ,舰长
4,6792898,沉迷乙游的YosuGa,舰长
5,3237744,剧毒术士卡布达,舰长
6,24136234,yuk133,舰长
7,11107450,我爱苹果皮,舰长
8,1467186,゙圣人惠美如画,舰长
9,284054,傲娇藤林杏,舰长
10,6865499,酪蛋糕,舰长
11,581984,jiu红_佐仓财团,舰长
12,11797,NOVE,舰长
13,294667,小狼仔06,舰长
14,2686444,zhlovenaiye,舰长
15,518287,琰月,舰长
16,150476,你玩FF14像cxk,舰长
17,356414,幻梦落尘,舰长
18,126835567,苏景寒QAQ,舰长
19,86795,ダーナ,舰长
20,333757885,蒲苇韧如絲,舰长
21,81007713,美杜莎毛呆多用装甲板,舰长
22,24349506,雪域悠然,舰长
23,153596,传说中的老山猫,舰长
24,1527604,米糖豆包,舰长
25,30885903,鸽翼-,舰长
26,2494590,山不就我192,舰长
27,96354,重巡洋舰羽黑,舰长
28,13624279,蛮牛方进,舰长
29,677968,祈福丶,舰长
30,10354186,空白de顔色,舰长
31,11270874,絔小妖丶,舰长
32,1355340,七夜喵,舰长
33,4350825,Sss丶333,舰长
34,1551497,囗六六囗,舰长
35,21443071,半车回忆,舰长
36,207079,猫控才是王道,舰长
37,139451,如儿两个字太短,舰长
38,2295825,505错误,舰长
39,2491930,aarkegz,舰长
40,759055,佐仓沙耶加减乘除,舰长
41,4080622,珈蓝璎珞,舰长
42,34032055,转来转去转不出去,舰长
43,13130453,xXx没头脑和不高兴,舰长
44,35148518,加尔斯海塔尔,舰长
45,5338051,朝倉康心QB,舰长
46,9555628,池上凭阑,舰长
47,119908,萌希家的小等等,舰长
48,399938125,蓝铃儿Official,舰长
49,94526445,胡萝北素w,舰长
50,39351242,一只被喂狗粮的喵,舰长
51,1802569,SirenumScopuli,舰长
52,670459,yiyunhuan,舰长
53,390676180,九条狸猫,舰长
54,848258,菠萝灌汤包,舰长
55,35357644,凛音梦夜,舰长
56,2238244,成飞大爱秋山澪,舰长
57,51792751,彼忍,舰长
58,2413965,Yukin0Shizuku,舰长
59,4156362,小心心才不傲娇,舰长
60,5800806,bpkbumblebee,舰长
61,6097060,平沢家の呆唯,舰长
62,11123212,韶尘杳晚暮_,舰长
63,8106540,AKA鸭鸭梨,舰长
64,576590,fuluo,舰长
65,23665774,悠米爱吃巧克力,舰长
66,2986944,Ace长安,舰长
67,392997,FFindblue,舰长
68,282770222,zh4ever,舰长
69,273875635,arslan1984,舰长
70,9923459,梦丶蝶,舰长
71,327220159,Qi学日麻,舰长
72,174019769,爱打麻将的奥斯卡,舰长
73,112700900,子车沉琚,舰长
74,3731858,如烟如雨丶,舰长
75,1368139,巴巴爸爸,舰长
76,549663524,某不愿透露姓名的树懒,舰长
77,346352217,左车亭,舰长
78,48984839,長門我真的好喜欢你啊,舰长
79,17490423,我只是来看看不说话,舰长
80,133890,disname,舰长
81,397781410,ysjsyysjsy,舰长
82,11444975,西莉卡のShirika,舰长
83,289499569,24Bridge,舰长
84,1286485,漠涟漪,舰长
85,260437110,李惟天,舰长
86,77222956,云若飞,舰长
87,809050,Zumma.C,舰长
88,874491,故事城,舰长
89,364421466,胡乱思维的猫,舰长
90,12958381,qing鲤,舰长
91,6504651,Real_小白,舰长
92,482738,暁の水平線に,舰长
93,3861924,ghj123h,舰长
94,299597062,GodSky-,舰长
95,2539001,法伊君,舰长
96,44100459,芙蓉打dota,舰长
97,19038963,千里花咲,舰长
98,12781123,焦糖树洞,舰长
99,358916082,然-7,舰长
100,87688430,是岚鸽鸽啊,舰长
101,38648230,烟雨锦绣梦,舰长
102,85685453,浅薄丶安凉,舰长
103,1716204,流浪的自由,舰长
104,22944254,路西Official,舰长
105,289583204,ートトー,舰长
106,298672073,劍舞红颜笑丿,舰长
107,193050759,萌萌哒-曹萌,舰长
108,29532936,是小莁鴨吶,舰长
109,527619018,天狼forever,舰长
110,109320712,大笨木瓜,舰长
111,383152159,铜铝得金,舰长
112,2507365,去优良命中,舰长
113,52558637,筱柒柒Official,舰长
114,608823536,朝宝在努力的,舰长
115,26465161,流年不忘终将安,舰长
116,163129043,根号i的立方,舰长
117,8309485,雪菜不想打会战,舰长
118,346240,Breaver_Official,舰长
119,1957081326,比奥_Official,舰长
120,519354999,赶快出纪录溯洄,舰长
121,3287844,粟米米米米米米米米丶,舰长
122,394034420,正经人谁用重装啊,舰长
123,19521898,小沐恩0915,舰长
124,522011003,晴安o,舰长
125,11477277,夭嗣音,舰长
126,57193584,神灬哲,舰长
127,2538746,口十丶木风,舰长
128,16822948,猫耳晃晃Nya,舰长
