rank,uid,username,type
1,3242457,猫耳小月子,舰长
2,11107450,我爱苹果皮,舰长
3,925980,LightNight,舰长
4,4212765,小也QwQ,舰长
5,6792898,沉迷乙游的YosuGa,舰长
6,3237744,剧毒术士卡布达,舰长
7,24136234,yuk133,舰长
8,1467186,゙圣人惠美如画,舰长
9,284054,傲娇藤林杏,舰长
10,11797,NOVE,舰长
11,6865499,酪蛋糕,舰长
12,581984,jiu红_佐仓财团,舰长
13,294667,小狼仔06,舰长
14,126835567,苏景寒QAQ,舰长
15,518287,琰月,舰长
16,150476,你玩FF14像cxk,舰长
17,356414,幻梦落尘,舰长
18,139451,如儿两个字太短,舰长
19,86795,ダーナ,舰长
20,24349506,雪域悠然,舰长
21,333757885,蒲苇韧如絲,舰长
22,81007713,美杜莎的凝神,舰长
23,1527604,米糖豆包,舰长
24,2494590,山不就我192,舰长
25,1355340,七夜喵,舰长
26,13624279,蛮牛方进,舰长
27,96354,重巡洋舰羽黑,舰长
28,11270874,絔小妖丶,舰长
29,207079,猫控才是王道,舰长
30,4350825,Sss丶333,舰长
31,21443071,半车回忆,舰长
32,2491930,aarkegz,舰长
33,2295825,505错误,舰长
34,34032055,转来转去转不出去,舰长
35,13130453,xXx没头脑和不高兴,舰长
36,4080622,珈蓝璎珞,舰长
37,759055,佐仓沙耶加减乘除,舰长
38,35148518,加尔斯海塔尔,舰长
39,5338051,QB的幸运四饼,舰长
40,119908,萌希家的小等等,舰长
41,399938125,蓝铃儿Official,舰长
42,39351242,一只被喂狗粮的喵,舰长
43,289499569,24Bridge,舰长
44,19982416,丿八云紫丶,舰长
45,407707,小沁不爱啃茄子,舰长
46,1802569,SirenumScopuli,舰长
47,390676180,九条狸猫,舰长
48,35357644,凛音梦夜,舰长
49,6097060,平沢家の呆唯,舰长
50,576590,fuluo,舰长
51,4156362,小心心才不傲娇,舰长
52,2986944,Ace长安,舰长
53,9923459,梦丶蝶,舰长
54,3731858,如烟如雨丶,舰长
55,346352217,左车亭,舰长
56,327220159,Qi学日麻,舰长
57,17490423,我只是来看看不说话,舰长
58,133890,disname,舰长
59,397781410,ysjsyysjsy,舰长
60,809050,Zumma.C,舰长
61,77222956,云若飞,舰长
62,874491,故事城,舰长
63,16822948,猫耳晃晃Nya,舰长
64,12958381,qing鲤,舰长
65,6504651,Name1ess_O,舰长
66,2539001,法伊君,舰长
67,3861924,ghj123h,舰长
68,44100459,芙蓉打dota,舰长
69,85685453,浅薄丶安凉,舰长
70,358916082,然-7,舰长
71,1606427,夜は眠れるかい゛,舰长
72,2943679,梭哈毛毛10t公粮,舰长
73,1263988646,三分微甜_,舰长
74,12781123,这是哪个太太又改名了,舰长
75,383152159,铜铝得金,舰长
76,5494229,JSON茶杯菌,舰长
77,138533676,九琉才是正统,舰长
78,121367890,卅凁saso,舰长
79,3057080,神崎海星,舰长
80,52558637,筱柒柒Official,舰长
81,299587582,涣散时光晴,舰长
82,482458990,御坂美琴__Official,舰长
83,18687348,Suzuka梅天狸,舰长
84,14641753,五条nic,舰长
85,25941450,为什么有人叫caimour,舰长
86,282211147,-yxzd03-,舰长
87,19521898,小沐恩0915,舰长
88,297576,HawxGT,舰长
89,3284844,silentforest,舰长
90,269492934,咪唑Imidazole,舰长
91,3027386,萝土豆卜丁,舰长
92,661672977,推倒有顶天的大小姐,舰长
93,477463796,小鸟you六桦,舰长
94,563579,陌上清弦,舰长
95,9216292,蓝色奶龙_,舰长
96,123075311,漫天星辰皆入我心,舰长
97,24664784,布然Hydrion,舰长
98,150303873,听夏夏夏,舰长
99,753295,米米ミミ,舰长
100,320840,东十儿,舰长
101,3546575171225777,易子121,舰长
102,805862,いい加減,舰长
103,89040492,希洛清酒,舰长
