rank,uid,username,type
1,3242457,猫耳小月子,舰长
2,925980,LightNight,舰长
3,4212765,小也QwQ,舰长
4,6792898,沉迷乙游的YosuGa,舰长
5,3237744,剧毒术士卡布达,舰长
6,11107450,我爱苹果皮,舰长
7,24136234,yuk133,舰长
8,122449,七夜寒音,舰长
9,1467186,゙圣人惠美如画,舰长
10,284054,傲娇藤林杏,舰长
11,6865499,酪蛋糕,舰长
12,581984,jiu红_佐仓财团,舰长
13,11797,NOVE,舰长
14,294667,小狼仔06,舰长
15,2686444,zhlovenaiye,舰长
16,518287,琰月,舰长
17,150476,你玩FF14像cxk,舰长
18,356414,幻梦落尘,舰长
19,126835567,苏景寒QAQ,舰长
20,86795,ダーナ,舰长
21,333757885,蒲苇韧如絲,舰长
22,81007713,美杜莎毛呆多用装甲板,舰长
23,153596,传说中的老山猫,舰长
24,24349506,雪域悠然,舰长
25,1527604,米糖豆包,舰长
26,2494590,山不就我192,舰长
27,914182,bc102,舰长
28,96354,重巡洋舰羽黑,舰长
29,677968,祈福丶,舰长
30,10354186,空白de顔色,舰长
31,11270874,絔小妖丶,舰长
32,1355340,七夜喵,舰长
33,13624279,蛮牛方进,舰长
34,4350825,Sss丶333,舰长
35,1551497,囗六六囗,舰长
36,21443071,半车回忆,舰长
37,207079,猫控才是王道,舰长
38,32285055,谁家小猫咪这么可爱啊,舰长
39,139451,如儿两个字太短,舰长
40,2295825,505错误,舰长
41,2491930,aarkegz,舰长
42,4080622,珈蓝璎珞,舰长
43,759055,佐仓沙耶加减乘除,舰长
44,34032055,转来转去转不出去,舰长
45,13130453,xXx没头脑和不高兴,舰长
46,35148518,加尔斯海塔尔,舰长
47,5338051,朝倉康心QB,舰长
48,119908,萌希家的小等等,舰长
49,399938125,蓝铃儿Official,舰长
50,94526445,胡萝北素w,舰长
51,39351242,一只被喂狗粮的喵,舰长
52,1802569,SirenumScopuli,舰长
53,670459,yiyunhuan,舰长
54,390676180,九条狸猫,舰长
55,848258,菠萝灌汤包,舰长
56,35357644,凛音梦夜,舰长
57,51792751,彼忍,舰长
58,2413965,Yukin0Shizuku,舰长
59,4156362,小心心才不傲娇,舰长
60,5800806,bpkbumblebee,舰长
61,6097060,平沢家の呆唯,舰长
62,11123212,韶尘杳晚暮_,舰长
63,576590,fuluo,舰长
64,23665774,悠米爱吃巧克力,舰长
65,2986944,Ace长安,舰长
66,392997,FFindblue,舰长
67,282770222,zh4ever,舰长
68,273875635,arslan1984,舰长
69,9923459,梦丶蝶,舰长
70,327220159,Qi学日麻,舰长
71,174019769,爱打麻将的奥斯卡,舰长
72,3731858,如烟如雨丶,舰长
73,1368139,巴巴爸爸,舰长
74,346352217,左车亭,舰长
75,289499569,24Bridge,舰长
76,17490423,我只是来看看不说话,舰长
77,133890,disname,舰长
78,397781410,ysjsyysjsy,舰长
79,1286485,漠涟漪,舰长
80,11444975,西莉卡のShirika,舰长
81,260437110,李惟天,舰长
82,77222956,云若飞,舰长
83,809050,Zumma.C,舰长
84,874491,故事城,舰长
85,364421466,胡乱思维的猫,舰长
86,12958381,qing鲤,舰长
87,6504651,Real_小白,舰长
88,3861924,ghj123h,舰长
89,299597062,GodSky-,舰长
90,2539001,法伊君,舰长
91,44100459,芙蓉打dota,舰长
92,19038963,千里花咲,舰长
93,1572509,炎魔之王娜贝纳尔伽玛,舰长
94,358916082,然-7,舰长
95,87688430,是岚鸽鸽啊,舰长
96,85685453,浅薄丶安凉,舰长
97,1716204,流浪的自由,舰长
98,289583204,ートトー,舰长
99,193050759,萌萌哒-曹萌,舰长
100,298672073,劍舞红颜笑丿,舰长
101,29532936,是小莁鴨吶,舰长
102,109320712,大笨木瓜,舰长
103,383152159,铜铝得金,舰长
104,527619018,天狼forever,舰长
105,2507365,去优良命中,舰长
106,163129043,根号i的立方,舰长
107,519354999,赶快出纪录溯洄,舰长
108,52558637,筱柒柒Official,舰长
109,3287844,粟米米米米米米米米丶,舰长
110,6351568,夏旬大傻,舰长
111,16822948,猫耳晃晃Nya,舰长
112,70093,12dora,舰长
113,103225776,雪月花苗,舰长
114,11477277,夭嗣音,舰长
115,365207758,梦饮酒者吗,舰长
116,17803702,肆二似,舰长
117,33666533,贤良淑德两仪式,舰长
118,477463796,xn游lh,舰长
119,3546590115531659,白开水乌龙茶,舰长
120,4559540,Miscralet,舰长
