rank,uid,username,type
1,150476,你玩FF14像cxk,舰长
2,1551497,囗六六囗,舰长
3,2413965,USA226,舰长
4,19038963,千里花咲,舰长
5,51792751,扶摇上青天丶,舰长
6,122449,七夜寒音,舰长
7,299000,枫枫雪,舰长
8,289499569,24Bridge,舰长
9,384246380,周之谦ovo,舰长
10,327220159,Qi学日麻,舰长
11,759055,佐仓沙耶加减乘除,舰长
12,302878,迫近的天际线,舰长
13,35148518,加尔斯海塔尔,舰长
14,13624279,蛮牛方进,舰长
15,9555628,池上凭阑,舰长
16,5338051,朝倉康心QB,舰长
17,677968,祈福丶,舰长
18,1355340,七夜喵,舰长
19,10005741,钻石胸针,舰长
20,2295825,505错误,舰长
21,1527604,米糖豆包,舰长
22,356414,幻梦落尘,舰长
23,3242457,猫耳小月子,提督
24,294667,小狼仔06,舰长
25,925980,LightNight,舰长
26,77222956,云若飞,舰长
27,604337808,锉刀必秒七海,舰长
28,2238244,成飞大爱秋山澪,舰长
29,2491930,aarkegz,舰长
30,1386318,紫色の心,舰长
31,13130453,xXx没头脑和不高兴,舰长
32,397781410,ysjsyysjsy,舰长
33,11123212,韶尘杳晚暮_,舰长
34,24349506,雪域悠然,舰长
35,2125062,寂灭天华,舰长
36,6792898,沉迷乙游的YosuGa,舰长
37,3731858,如烟如雨丶,舰长
38,218970376,嘉兴路海德格爾,舰长
39,21626362,千年·小妖,舰长
40,17490423,我只是来看看不说话,舰长
41,581984,jiu红_佐仓财团,舰长
42,333757885,蒲苇韧如絲,舰长
43,11444975,西莉卡のShirika,舰长
44,106676490,恋星sayaka,舰长
45,9923459,梦丶蝶,舰长
46,3518530,小傻改2,舰长
47,12781123,Eastriv,舰长
48,152106034,四月墨封,舰长
49,103927621,上头呆l,舰长
50,374003,风吹猫仔凉,舰长
51,37684532,chinesewe,舰长
52,124463,燕归归归归,舰长
53,139451,如儿两个字太短,舰长
54,900744,魔法少女青羽,舰长
55,5730800,201Ai,舰长
56,9519473,风_风_风_,舰长
57,1438008,天津風醬,舰长
58,346352217,左车亭,舰长
59,576590,fuluo,舰长
60,333445222,饭阿能的咸鱼0,舰长
61,299597062,GodSky-,舰长
62,207079,猫控才是王道,舰长
63,1697848019,赤五教教主亮亮,舰长
64,32285055,谁家小猫咪这么可爱啊,舰长
65,21286664,酱油不要油,舰长
66,2909345,化雨成枫,舰长
67,364421466,胡乱思维的猫,舰长
68,324452248,MMarlon,舰长
69,390653681,cmerxbd,舰长
70,23665774,悠米爱吃巧克力,舰长
71,1286485,吸猫薄荷的漠涟漪,舰长
72,2899906,瑟瑟ovo,舰长
73,11178087,南极大熊熊,舰长
74,1016211,定楠er,舰长
75,38017271,好想睡醒阿,舰长
76,323391654,魔王米莉姆喲,舰长
77,482738,暁の水平線に,舰长
78,416833614,请叫我天地胡,舰长
79,44100459,芙蓉打dota,舰长
80,85304044,叫什么才能过,舰长
81,610492,博格达山,舰长
82,29381013,月影残剑,舰长
83,1507182989,碳酸树袋熊,舰长
84,39351242,一只被喂狗粮的喵,舰长
85,1368139,巴巴爸爸,舰长
86,1802569,SirenumScopuli,舰长
87,282770222,zh4ever,舰长
88,358916082,然-7,舰长
89,284054,傲娇藤林杏,舰长
90,3237744,剧毒术士卡布达,舰长
91,24136234,yuk133,舰长
92,518287,琰月,舰长
93,94526445,胡萝北素w,舰长
94,6340376,尛滺,舰长
95,96354,重巡洋舰羽黑,舰长
96,10354186,空白de顔色,舰长
97,5800806,bpkbumblebee,舰长
98,2986944,Ace长安,舰长
